epoch,train_loss,train_bce,train_dice_loss,train_dice,train_iou,val_loss,val_bce,val_dice_loss,val_dice,val_iou,lr,epochs_without_improving
1,0.17881242476212672,0.21214838322156515,0.14547646504182082,0.7980021348366371,0.7277927249670029,5.256146382201802,9.912210422934908,0.6000824119105483,0.3499735410917889,0.29410130056467926,0.001,0
2,0.1101395553503281,0.13796940384766995,0.08230970670015383,0.8400962407772358,0.7779554883639018,0.12124145126929789,0.08830411955149788,0.1541787837490891,0.7004986595023762,0.6492749452590942,0.001,0
3,0.0886475210579542,0.1133013981848191,0.06399364471435547,0.8586711755165687,0.7999696737680679,0.06472057070244443,0.04971106748350642,0.07973007361094157,0.7847710757544546,0.7366904363487706,0.001,0
4,0.0793513540083017,0.10002435226088915,0.05867835588944264,0.8649857530227074,0.8077076487052135,0.10209789220243692,0.08983826947708924,0.11435751662109837,0.7544589277469751,0.7061140744975118,0.001,0
5,0.07568875408898561,0.09524292731896425,0.056134581565856934,0.8713529950533158,0.8147222503637657,0.06465931411719683,0.052815526286422304,0.07650310162341956,0.8152975421963315,0.7686497569084167,0.001,1
6,0.07338191674878965,0.09283652062981557,0.053927312753139396,0.872761652408502,0.8161211570103963,0.09879163409950155,0.07264862599020655,0.12493464079770175,0.7024810901193907,0.6523118913173676,0.001,0
7,0.0704442415577479,0.08972780170540015,0.051160681247711184,0.8735582822408432,0.8184730710127415,0.6685675274242054,0.8906215628834836,0.44651347398757935,0.5485876164201534,0.47558147437644727,0.001,1
8,0.06640479226525013,0.08413550641674261,0.04867407786540496,0.8781811411564167,0.8238947651325128,0.07145197003741156,0.05568497683711802,0.08721896373864377,0.7781650658809778,0.7294158420779489,0.0005,2
9,0.06416816574831803,0.08087137041565699,0.04746496096635476,0.8833206277627211,0.8294790249604446,0.05945410057337898,0.04727593564541277,0.0716322660446167,0.8313581130721353,0.7855318342194413,0.0005,3
10,0.05648348133724469,0.07136850981758192,0.041598452971531794,0.8898515851069719,0.8376577612681266,0.09694507198803352,0.09340577341164603,0.10048436937910138,0.7463447650273641,0.6998596733266657,0.0005,0
11,0.062155314907431605,0.0780594943712155,0.046251135300367306,0.8872489333152771,0.8346228324449979,0.04890634301541881,0.04386303773516732,0.05394964868372137,0.8704222838083903,0.825797109892874,0.0005,1
12,0.056540208367201,0.07088126798088734,0.04219914827591334,0.8897590952041822,0.8380663083149836,0.0897690953799721,0.07792102848885185,0.10161715926546039,0.7634467789621064,0.717085473465197,0.0005,0
13,0.0554551191532459,0.06944698935899979,0.04146324885197175,0.8937977038897,0.8422570329446059,0.04814726193294381,0.03887128979179331,0.05742323398590088,0.8238183747638356,0.7785622387221365,0.0005,1
14,0.0541900223837449,0.06795724621759011,0.0404227981200585,0.8933912806021862,0.8419337703631474,0.06647199595516379,0.05385298458294886,0.07909100705927069,0.7510213960300792,0.7032978372140364,0.00025,2
15,0.051453838602472574,0.06368053996792207,0.03922713719881498,0.8954706781949753,0.8449433002716455,0.07203787161658208,0.07031811977327435,0.0737576267936013,0.8271665500872063,0.781808673432379,0.00025,3
16,0.04874626480233975,0.060836651539191225,0.03665587810369638,0.9021306187678606,0.8523189330712343,0.05894801601993315,0.05181896429029152,0.06607706980271773,0.8277073954090928,0.7815634328307528,0.00025,4
17,0.04803579312104445,0.06002770336583639,0.036043882981324805,0.9003426924729958,0.8509265587880062,0.06466562151344436,0.05711140014075985,0.07221984140800708,0.8207039733727773,0.7744925320148468,0.000125,5
