epoch,train_loss,train_bce,train_dice_loss,train_dice,train_iou,val_loss,val_bce,val_dice_loss,val_dice,val_iou,lr,epochs_without_improving
1,0.17083367325174503,0.20101716260497388,0.14065018250392033,0.8207595017475959,0.7546194773453933,0.06599622202867811,0.054829775976638,0.07716266675428911,0.8137156078309724,0.7679333704890627,0.001,0
2,0.1033009420029628,0.12857789506132786,0.07802398968965579,0.8598606204375242,0.7995599731420859,0.07765072759127978,0.046623146076771343,0.10867830840024081,0.7366060849392053,0.6867369485623909,0.001,0
3,0.09374877384457833,0.1184766336511343,0.06902091380877373,0.869333024819692,0.8109795331954956,0.05399837940366882,0.04227989835128414,0.06571685906612512,0.7871157671466018,0.7408825032638781,0.001,1
4,0.07861153636223231,0.10024053538456941,0.05698253741631141,0.875993770819444,0.8197810301413903,0.054086185145107185,0.03992122200063684,0.0682511492209001,0.7826969804185809,0.7368865031184573,0.0005,2
5,0.06892943556110064,0.08580334446369073,0.0520555270023835,0.8837307080244406,0.8288826490059877,0.054554797313881645,0.045197770578052965,0.06391182451537161,0.7878045412627134,0.7412989536921183,0.0005,3
6,0.06334162556972259,0.0796828234807039,0.0470004277351575,0.8872330540265793,0.8335052893711971,0.04720381835024014,0.04181372434973265,0.0525939121390834,0.831009465636629,0.7864380785913179,0.0005,4
7,0.06257144111471298,0.07839064647754033,0.04675223582830185,0.8893769472073286,0.8361662996120942,0.04681220944180633,0.03564877041869543,0.057975648027477844,0.798816855206634,0.7542072787429347,0.0005,0
8,0.06127063288138463,0.07694444786279629,0.045596818129221596,0.8906141901627566,0.8376599706136263,0.05974004776075934,0.0470973983280022,0.07238269755334566,0.8017777403195699,0.7547403023098455,0.0005,1
9,0.05852939227643685,0.07339539820185075,0.043663386198190546,0.8918975426600529,0.8393611330252427,0.04625049131837758,0.03650564332069321,0.05599533969705755,0.7998272957223834,0.7545531554655596,0.00025,2
10,0.05424445657393871,0.06721961688345823,0.04126929625486716,0.8974099556605021,0.8462195827410771,0.04359763663149241,0.0349462730316163,0.05224899992798314,0.8182575124682803,0.7735883205225973,0.00025,3
11,0.0541073425553548,0.06725668241389286,0.040958002591744445,0.8994020254184039,0.8483720247562115,0.04773194884712046,0.036185472970828414,0.0592784249421322,0.7876293605024164,0.7409126036094896,0.00025,4
12,0.052096591832546085,0.06479213820436062,0.039401045518043715,0.8987377026142218,0.8478527319736969,0.04161729310836756,0.0335935791178296,0.049641007726842705,0.8418994022138191,0.7985061063910975,0.00025,5
13,0.051170683327393655,0.06389518492879012,0.03844618185972556,0.9028091225868616,0.8524581750233968,0.04224511600014838,0.0361805675219688,0.048309663931528725,0.8155059958949233,0.7711338572429888,0.00025,0
14,0.050907816756994295,0.06354675737137978,0.038268876381409474,0.9015624654598725,0.8508251774005401,0.058303584358796026,0.053301636277782644,0.06330553329352176,0.8388400547432177,0.7901789943377177,0.00025,1
15,0.04992375249663989,0.06241024200541851,0.03743726320755787,0.9061012824376424,0.8561075286987501,0.04488976384428414,0.035251939432893065,0.054527587962873054,0.8019066832282327,0.75667630090858,0.000125,2
16,0.04833298880511369,0.05992965568334628,0.03673632175494463,0.9046890937365019,0.8549402906344488,0.04497644031476794,0.03629990968373463,0.053652971079855255,0.8292707692493092,0.7854277220639315,0.000125,3
17,0.047183076865397966,0.05845530439072694,0.03591084938782912,0.9075601094808334,0.8582697357886877,0.04677825663803202,0.03808804942210289,0.055468463536464806,0.8119651313984033,0.766432652870814,0.000125,4
18,0.04716458478226111,0.058662917780188416,0.03566625179388584,0.9041230458479661,0.8550612235680605,0.0428361453144162,0.033784335937746095,0.05188795472636367,0.80072564609123,0.7553300965916027,6.25e-05,5
