epoch,train_loss,train_bce,train_dice_loss,train_dice,train_iou,val_loss,val_bce,val_dice_loss,val_dice,val_iou,lr,epochs_without_improving
1,0.20157531877167714,0.24334904407270444,0.15980159349930592,0.7834381931485274,0.7140908575210816,0.10310545939049034,0.06789030437710497,0.13832061489423117,0.7719677135799871,0.7246716808189045,0.001,0
2,0.137630202067204,0.17379606497020295,0.10146433955583817,0.8268577597844295,0.7632990411458871,0.16220489062481758,0.1100746343815417,0.21433514898473566,0.6444232387073112,0.5885392805617867,0.001,0
3,0.10477136641931839,0.13372227417734953,0.07582045869949536,0.8496452007538233,0.7896813046473723,0.12859259264995204,0.10154991009216191,0.1556352756240151,0.7502571524995746,0.7001420184969902,0.001,1
4,0.09463406096284206,0.11738776714564898,0.07188035478958717,0.8559542391544733,0.7974898339082033,0.0767638767561452,0.05368347804478341,0.09984427509885846,0.795170294064464,0.746898321039749,0.001,2
5,0.09212746036549409,0.11596229591239722,0.06829262452247815,0.8603414816734118,0.8019265977235941,0.08436086868415728,0.048828267732240034,0.11989346959374168,0.7999219916986696,0.7503710398168275,0.001,0
6,0.08573263616611561,0.10757917038714275,0.0638861018877763,0.8673758436471988,0.8100758471550086,0.06839965912513435,0.04786171355447026,0.08893760496919806,0.8074675798416138,0.7603822210521409,0.001,0
7,0.07863428082126073,0.09797835403527969,0.059290207502169484,0.8650896188540337,0.8088324410793108,0.14172909194321343,0.11700315744030487,0.16645502682888147,0.7274674682906179,0.6779686478954373,0.001,0
8,0.07348587983407272,0.09223747881941306,0.05473428078186818,0.8748252532421015,0.8187521685392428,0.12904346385744936,0.11764540692622011,0.14044151974446845,0.7471529450831991,0.6982295526699587,0.001,1
9,0.0831426341086626,0.10517028907361703,0.0611149787902832,0.8686585418688946,0.8121395835509667,0.10669048096645962,0.09076897464833703,0.12261198777140993,0.796547096787077,0.7503108032273523,0.0005,2
10,0.06528147569833657,0.08103634894658358,0.04952660248829768,0.8827850364721739,0.8289741891316879,0.11889255212648123,0.0816433250720641,0.15614177963950418,0.6704792575628469,0.6185312613167546,0.0005,3
11,0.06602733722911813,0.08218697423163132,0.049867700460629584,0.8832074533670377,0.8292180796464285,0.05750364010843138,0.04665905706210514,0.06834822260972226,0.8584513339129362,0.8134526140762098,0.0005,4
12,0.0630183792887972,0.0777840381870285,0.04825272086339119,0.884795976907779,0.8317343818835723,0.05761409591826977,0.04328401378447642,0.07194417715072632,0.8492513962767341,0.8053719035603784,0.0005,0
13,0.05933473556278608,0.07280013286150419,0.04586933820675581,0.8902875872758719,0.8380160227800026,0.07127726919751501,0.045768596143743984,0.09678594181031892,0.7409109072477529,0.6926523077894341,0.0005,1
14,0.062140605331231384,0.07575412970991471,0.048527080890459894,0.8888987001700279,0.8362425669645652,0.0628237275999378,0.04252757068730496,0.08311988368178859,0.8214919910286412,0.7752537655107903,0.00025,2
15,0.05735051916577877,0.0695901754192817,0.04511086283585964,0.8894607302470084,0.8377159762076842,0.09549809533707572,0.07241623120198985,0.11857995842442368,0.7374414246190678,0.6897865275316166,0.00025,3
16,0.05380703868965308,0.06590393571278606,0.04171014153040373,0.8935784125939393,0.8425959445727177,0.0773997930386527,0.05781415910601164,0.09698542681607333,0.7861640986168024,0.7387754607832793,0.00025,4
17,0.05277130658236834,0.06484774875526245,0.04069486443813031,0.8963932738854334,0.8460381194567069,0.0704239932537982,0.05104898291139045,0.08979900316758589,0.8097869550639932,0.7624023236108549,0.000125,5
