epoch,train_loss,train_bce,train_dice_loss,train_dice,train_iou,val_loss,val_bce,val_dice_loss,val_dice,val_iou,lr,epochs_without_improving
1,0.21948374060433615,0.19918259237922212,0.23978488962605315,0.6755655975368038,0.614983635316105,0.1921477806331082,0.10821759689486388,0.27607796318603284,0.683300191480102,0.6318262630339825,0.001,0
2,0.1445100912414257,0.13583446707599942,0.1531857135910658,0.7330430418065509,0.6747658991213864,0.13563587764898935,0.09100723197457916,0.18026452172886243,0.7964291861563018,0.7368683444731163,0.001,0
3,0.14411317176367128,0.14411479467818947,0.14411154820484184,0.7276522056111749,0.6675556838137549,0.09362590818129705,0.040999132081527605,0.14625268361785196,0.7659765135383967,0.7179875101781252,0.001,0
4,0.12184620986007294,0.1155854216161764,0.1281069978228155,0.752373918234927,0.6938305980754349,0.08025457647939523,0.05266710565862895,0.10784204800923665,0.7961897831974607,0.7481439173447363,0.001,1
5,0.11016713600582297,0.107220839826191,0.11311343256032692,0.7670059968840401,0.7112942291130809,0.07837273700473209,0.03889275341873255,0.1178527194442171,0.813525063070384,0.7678655115040866,0.001,0
6,0.10085905537758984,0.09443724638073699,0.1072808639058527,0.7688738433819897,0.7137748808980738,0.19399170027199117,0.1818555296172924,0.20612786845727402,0.746227529464346,0.6778212736050288,0.001,0
7,0.08531394108848751,0.0817321768651406,0.08889570551098518,0.7908276008360041,0.7370873963308034,0.07679115391378714,0.0453743361938519,0.10820797176072092,0.8267643948396047,0.777608999248707,0.001,1
8,0.0792826938929048,0.08035601588235523,0.07820937243647545,0.7872164806109767,0.7350382298798144,0.08528960616835816,0.041423900525621844,0.12915531162059668,0.7989309226924722,0.7511780194260858,0.001,0
9,0.08006668108392437,0.07826166051738667,0.08187170186132756,0.7818927255077859,0.7282485615168655,0.0687591839849836,0.03980931412044094,0.09770905519976761,0.8203130247014941,0.7738905138138569,0.001,1
10,0.08311545896876908,0.0799324014019104,0.08629851633647703,0.7920316930087108,0.738660842367688,0.10819021507984761,0.06414926001294093,0.15223117217873083,0.7914917283889019,0.7429250248453834,0.0005,2
11,0.06501962190037067,0.06150598164483811,0.06853326199189672,0.8006460651661615,0.7480975513188344,0.08267228935393646,0.052152069223776576,0.11319250861803691,0.8157222826372493,0.7685871961893458,0.0005,3
12,0.06463956376596254,0.06147056846123821,0.06780855910583113,0.7940234052685072,0.7432577752467221,0.07538334029783128,0.047807064461239585,0.10295961661772295,0.8152843004826343,0.7697843913779114,0.0005,4
